year,investment,country,industry
1993,16.84,ARGENTINA,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS"
1993,264.82,ARGENTINA,03 PESCA Y ACUICULTURA
1993,1828.28,ARGENTINA,20 INDUSTRIA QUÍMICA
1993,192.21,ARGENTINA,21 FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS
1993,4.51,ARGENTINA,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO
1993,184.3,ARGENTINA,"26 FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS"
1993,6217.85,ARGENTINA,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO
1993,130.4,ARGENTINA,33 REPARACIÓN E INSTALACIÓN DE MAQUINARIA Y EQUIPO
1993,30582.700000000004,ARGENTINA,"35 SUMINISTRO DE ENERGÍA ELÉCTRICA, GAS, VAPOR Y AIRE"
1993,1045.03,ARGENTINA,41 CONSTRUCCIÓN DE EDIFICIOS
1993,286.27,ARGENTINA,42 INGENIERÍA CIVIL
1993,117.8,ARGENTINA,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA
1993,540.91,ARGENTINA,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR"
1993,30800.8,ARGENTINA,51 TRANSPORTE AÉREO
1993,64.91,ARGENTINA,58 EDICIÓN
1993,24427.16,ARGENTINA,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION"
1993,75.43,ARGENTINA,"65 SEGUROS,REASEGURO.FONDOS PENSION, EXCEPTO S.SOCIAL"
1993,8475.44,ARGENTINA,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS
1993,117.8,ARGENTINA,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN
1993,128.70999999999998,ARGENTINA,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA
1993,16584.75,ARGENTINA,85 EDUCACIÓN
1993,139.4,ARGENTINA,92 ACTIVIDADES DE JUEGOS DE AZAR Y APUESTAS
1993,189.03,ARGENTINA,PERSONAS FÍSICAS (SIN SECTOR DE ACTIVIDAD)
1994,171.65,ARGENTINA,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS"
1994,120.55,ARGENTINA,03 PESCA Y ACUICULTURA
1994,174.97,ARGENTINA,10 INDUSTRIA DE LA ALIMENTACIÓN
1994,317.06,ARGENTINA,17 INDUSTRIA DEL PAPEL
1994,12.02,ARGENTINA,20 INDUSTRIA QUÍMICA
1994,400.83000000000004,ARGENTINA,21 FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS
1994,10.08,ARGENTINA,22 FABRICACIÓN DE PRODUCTOS DE CAUCHO Y PLÁSTICOS
1994,8666.59,ARGENTINA,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO
1994,465.68,ARGENTINA,"24 METALURGIA; FABRICACION PRODUCTOS HIERRO, ACERO"
1994,235.01,ARGENTINA,"26 FABRICACIÓN DE PRODUCTOS INFORMÁTICOS, ELECTRÓNICOS"
1994,0,ARGENTINA,27 FABRICACIÓN DE MATERIAL Y EQUIPO ELÉCTRICO
