Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,5/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,220304999,215915000,255345000,224545000,201350001,250969999,248935000,235455000,321360614.52514,374002932.960894,336945700,339224000,324813400,401389600,455457100,691873900,686970110,708713690,689775980,768622300,653170670,680351000,815800560,922550890,907111452.513966,980247680,982300000,
Afganistán,AFG,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,3042274496.10726,4265888740.23846,5162440806.75156,6344641959.56008,7152304397.72645,7288702710.90529,7528549879.63682,6976966153.82054,7281910524.1067,8097280955.90196,8206682106.31946,8497655795.34729,
Angola,AGO,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,,,228335521.177058,555691254.40397,392514285.939726,202442614.084957,491400189.57731,1198212373.02401,731866198.100655,375545950.307129,634199422.3308,1379588147.35472,3196850749.33725,8149079645.64961,11196800894.0338,17869411576.4837,13664098153.6474,19678661657.2159,27039761554.085,31161778888.6797,31500815461.6599,27032344084.4907,23790543425.2351,23672191989.4347,17455327770.6619,15410405365.47,16334853784.0603,
Albania,ALB,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,166509702.571381,223594867.335972,265298057.978901,323376838.747386,342425753.029904,417921457.174903,523112274.341877,646305676.491804,770581227.384293,866478231.283188,1038294231.23302,1387912853.56432,1439592137.1131,1812802559.88129,2161936583.38148,2363791896.73249,2368942443.29456,2540673823.18045,2471402724.94026,2599863597.31882,2773278107.16848,2665215805.2185,3138517990.16501,3108607051.81759,3588583656.8278,3893560031.06681,3763661058.67744,
Andorra,AND,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,6415331634.69035,6963509610.43122,7778376180.61089,8350159123.92297,8603051266.48806,9305872456.3249,10790300349.0117,13631620189.1667,14256130113.4802,15355431325.3937,15087811903.6616,18529923697.6481,21010295842.2662,27617445822.5769,77238765358.1158,31694454694.0486,26104201597.7902,32785291883.4009,37269318422.5758,47035150430.9523,68202650660.2746,78424381665.0826,93929134196.4176,85390832746.3078,95377648625.516,99503335478.7452,108359358451.761,
Argentina,ARG,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,15499431243.972,16003265688.189,15979453701.6387,19719017351.0624,22424600096.7817,24855741222.2541,26350163486.3723,25152117244.4134,14555552759.6102,10492424818.7375,14157284136.3645,19659591803.9788,28081718501.5579,32022297112.9806,46149456855.7802,46385380206.9801,48006988635.3253,52207549724.0928,46265800525.8807,43223270863.843,30533919650.6264,31410813269.5239,25520565580.4894,38414518491.6132,55314409205.2189,66221501691.4418,44880566052.3703,
Armenia,ARM,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,13586867.7923464,36108082.6908787,111182285.173205,168201671.082148,239225950.402881,293162998.658431,303511811.181036,314200332.802207,329632780.091138,430974325.401014,501977062.059943,547758869.582332,669480407.701409,1071917964.48804,1659090453.02799,1406800823.43428,2003623407.8546,1865824296.86233,1932471998.58389,1799374398.90816,2251610255.35403,1489443370.96659,1775293493.7543,2204113991.25512,2314113951.27386,2259321868.53197,2849645182.4783,
Samoa Americana,ASM,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,37806867.7923464,45808258.3579926,59438706.3419391,47738676.6211506,50698392.3405725,59367608.1802758,69730255.8351668,63558884.5284907,79718831.0402204,87648341.4624844,113767366.731074,120139161.912642,127320746.176333,142632588.752235,143848808.510004,138022502.557881,127860399.429427,136600155.264423,147868733.577765,162045101.996445,202580586.969295,297046137.541925,355728253.383608,330090979.265027,313645370.808951,328659747.502549,279133212.713698,
Australia,AUS,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,14188550691.4828,14313163752.8351,14951886130.3736,17402141301.7261,17588261223.5229,15377553384.6145,21955814712.2324,18821546023.5147,18663980677.4372,21567012300.1784,33258076239.1012,36925537509.3118,43257063108.6614,55078716457.7347,26907894338.8501,32923506492.0435,41742190606.7948,42267797177.4333,46714016758.3861,49138172006.1935,52837027749.6145,53910325023.2378,45712035070.596,53555791522.7773,66597718118.1818,53880533420.3007,58754685703.4779,
Austria,AUT,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,21878103248.0458,23852061060.4833,23368742794.5262,26833509076.3267,22021086580.2563,25207674037.3337,18923059530.5772,17649557521.9085,15598207438.845,13182007409.347,12729301826.6791,12188419360.202,11827977057.728,12911210327.5257,18193955715.2108,16741449884.8454,17903949014.9959,22241623425.0213,24768999165.179,27211429627.7746,23316756962.0136,25001493235.2233,22239731667.636,23255493380.5846,21565331649.2621,23190665221.0656,23616397437.8114,
Azerbaiyán,AZE,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,590075.584692729,2034228.47621105,120884190.931729,213661231.432484,467319243.469369,448540667.457412,672589591.859642,679605504.08201,724979353.94087,720471772.469666,802839749.214127,1075084292.67504,1177743664.23387,2500372956.08952,4273114882.33472,6467239211.36657,5363850354.15113,6409059730.22349,10273925784.8398,11277345749.0186,15175667724.097,15816416601.3299,7319394112.32726,6573862903.11433,6680532216.7134,6665989936.45047,7042996709.93734,
Burundi,BDI,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,169711841.577049,211303503.340123,216108467.542699,145960526.577454,118039205.611467,70480623.6839841,52981473.9119671,37646865.1651183,17974678.2401183,59105712.309297,67366291.2726551,66173617.2508293,100575245.808507,131138494.759737,177130962.895465,266537169.93856,323088641.078175,332085022.471923,295447213.888204,308757013.647554,329308184.126304,317139256.456431,136134382.176262,95158477.5306259,97402580.425552,68126200.7714545,111373704.053543,
Bélgica,BEL,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,21197694511.7278,23474024353.9274,24120462999.8407,22609776070.2498,20635950073.3992,21012750278.4705,13346240662.3449,12271745172.0013,13560301157.335,14697923742.2018,14448826871.3605,13990812128.097,11996383512.5918,13436681104.3321,16485311239.2755,15680647981.365,23861674312.7944,26779063929.1966,29114266148.2487,30768939403.7022,26946175032.3354,25444391272.9201,24101851039.0629,23480922147.456,26151437584.4711,26856799008.9529,28969986952.2765,
Benin,BEN,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,BFA,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,2446571611.35799,3174800835.43058,2376175210.15567,1869479672.24747,1610776837.04072,1935771266.13791,1634375949.12566,1515788656.4122,1305630681.37667,1721734791.67036,2624623706.05726,3221759632.85791,2825004863.68236,3877163419.29565,5277479281.25889,5787356027.0945,10341543873.7537,11174828666.9521,9174749651.12681,12754226899.6072,18087689200.062,22319788312.4797,27493077971.9949,32283838538.9037,33431482893.1712,32028383716.5949,32696936140.2925,
Bulgaria,BGR,"Total de reservas (incluye oro, US$ a precios actuales)",FI.RES.TOTL.CD,1052450306.21187,1396927155.27122,1635187896.10957,864262294.007178,2485359967.63859,3056953865.99045,3264673603.2394,3507198891.18447,3646131847.83262,4846429934.1631,6825720112.56369,9337108132.85169,8697081081.81402,11756001867.2857,17544560019.9979,17930378434.4521,18522121029.1316,17223204558.801,17215731650.4487,20507099695.0265,19883353048.1463,20129698078.3467,22153050488.9051,25176065815.9197,28375830876.2926,28711039864.6649,27901750798.6159,
