Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1208826815.64246,1357094972.06704,1347206703.91061,1733184357.5419,1724748603.35196,1164804469.27374,1389441340.78212,2523519553.07263,2423128491.62011,1487821229.05028,2051843575.41899,3434636871.50838,4416201117.31844,4716033519.55307,5206256983.24022,5456201117.31844,1951787709.49721,264636871.50838,5180112000,1388994000,278994000,258939000,334134000,300000000,,,,
Afganistán,AFG,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,688000000,105000000,166000000,128000000,144000000,159000000,166000000,137000000,68000000,100000000,144000000,305000000,384000000,416000000,454000000,540000000,403000000,388000000,376000000,429000000,515000000,570000000,571000000,596000000,723000000,875000000,864000000,
Angola,AGO,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,3762000000,3018000000,3642000000,5095000000,5007000000,3543000000,5157000000,7921000000,6534000000,8328000000,9508000000,13475000000,24109000000,31862000000,44396000000,63914000000,40828000000,50595000000,67310000000,71093000000,68247000000,59170000000,33181000000,27589000000,34613000000,40758000000,34726000000,
Albania,ALB,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,122000000,140000000,202000000,207000000,139000000,205000000,351000000,261000000,307000000,340000000,448000000,605000000,659000000,790000000,1079000000,1027000000,1091000000,1544000000,1947000000,1967000000,2339000000,2429000000,1917000000,1959000000,2292000000,2870000000,2716000000,
Andorra,AND,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,95000000,90000000,97000000,118000000,129000000,126000000,
El mundo árabe,ARB,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,127004056318.809,131531088132.692,149549155073.627,179806418768.675,187641666138.858,142372348670.184,178394473169.782,262678919593.254,235710858721.423,245447379399.825,300190041294.236,403063937321.27,557536389593.019,676490054456.767,791163853036.7,1080528644516.04,739259091722.345,927453127790.749,1244097188562.37,1400640027399.75,1384481205620.22,1256854732460.51,866595370535.011,793613493593.815,913721931824.765,1159793729405.81,1090166098848.38,
Emiratos Árabes Unidos,ARE,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,25620000000,26403000000,28364000000,37334000000,40423000000,33837000000,36474000000,49835000000,48414000000,52163000000,67135000000,90997000000,117287000000,145587000000,178630000000,239213000000,191802000000,213539000000,302037000000,359728000000,374214000000,343036000000,300477000000,295031000000,313547000000,387910000000,389373000000,
Argentina,ARG,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,13118000000,15659000000,20967000000,23811000000,26370000000,26441000000,23333000000,26341000000,26543000000,25650000000,29566000000,34576000000,40351000000,46546000000,55779000000,70018000000,55672000000,68187000000,84051000000,79982000000,75963000000,68405000000,56784000000,57910000000,58644000000,61781000000,65116000000,
Armenia,ARM,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,156000000,216000000,271000000,290000000,233000000,221000000,232000000,294000000,343000000,505000000,686000000,723000000,974000000,985000000,1152000000,1057000000,710000000,1011000000,1334000000,1380000000,1480000000,1519000000,1485000000,1792000000,2245000000,2412000000,2640000000,
Samoa Americana,ASM,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,481000000,252000000,272000000,313000000,424000000,415000000,345000000,346000000,318000000,388000000,460000000,446000000,374000000,439000000,331000000,337000000,484000000,320000000,300000000,422000000,388000000,346000000,379000000,388000000,397000000,513000000,437000000,
Antigua y Barbuda,ATG,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,62000000,44000000,53000000,38000000,38000000,36000000,38000000,52000000,41000000,39000000,45000000,57000000,83000000,74000000,59000000,65000000,51000000,46000000,56000000,63000000,69000000,99000000,66000000,61000000,21000000,26000000,38000000,
Australia,AUS,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,42723000000,47528000000,53111000000,60301000000,62910000000,55893000000,56080000000,63870000000,63387000000,65033000000,70377000000,86565000000,106097000000,123437000000,141358000000,187257000000,154331000000,212634000000,271733000000,256675000000,252981000000,239975000000,187684000000,192505000000,231131000000,257098000000,271005000000,
Austria,AUT,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,40685000000,45002000000,57738000000,58222000000,59784000000,64085000000,66061000000,67710000000,70751000000,78673000000,97146000000,118376000000,125182000000,136751000000,163620000000,181289000000,136989000000,152560000000,177428000000,166611000000,175156000000,178223000000,152728000000,152090000000,168026000000,184815000000,178670000000,
Azerbaiyán,AZE,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,993000000,655000000,635000000,630000000,780000000,605000000,929000000,1745000000,2314000000,2167000000,2592000000,3615000000,7649000000,13015000000,21269000000,30586000000,21097000000,26476000000,34495000000,32634000000,31703000000,28260000000,16592000000,13108000000,15481000000,20317000000,19636000000,
Burundi,BDI,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,68000000,120000000,105000000,39000000,86000000,65000000,54000000,50000000,39000000,30000000,38000000,47000000,58000000,58000000,59000000,57000000,67000000,101000000,123000000,134000000,94000000,132000000,121000000,125000000,172000000,180000000,180000000,
Bélgica,BEL,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,,,,,,,179152000000,188371000000,190349000000,216127000000,255617000000,306866000000,334400000000,366745000000,430952000000,471840000000,370125000000,407692000000,475672000000,445939000000,468760000000,472192000000,396841000000,398134000000,429645000000,468650000000,446944000000,
Benin,BEN,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,384000000,398000000,420000000,528000000,424000000,407000000,422000000,392000000,374000000,448000000,541000000,569000000,578000000,736000000,1047000000,1282000000,1225000000,1282000000,1410000000,1443000000,1982000000,2560000000,1682000000,1774000000,2216000000,3344000000,3053000000,
Burkina Faso,BFA,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,69000000,107000000,276000000,233000000,232000000,319000000,255000000,209000000,223000000,247000000,321000000,479000000,468000000,588000000,623000000,693000000,900000000,1591000000,2399000000,2182000000,2356000000,2453000000,2176000000,2509000000,2875000000,3254000000,3239000000,
Bangladesh,BGD,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,2545000000,2934000000,3501000000,4249000000,4832000000,5121000000,5497000000,6389000000,6080000000,6149000000,6990000000,8305000000,9297000000,11802000000,12453000000,15370000000,15083000000,19194000000,24439000000,25127000000,29114000000,30405000000,32379000000,34894000000,35851000000,39252000000,39337000000,
Bulgaria,BGR,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,3580000000,4005000000,5355000000,4890000000,4940000000,4300000000,3979000000,4852000000,5118000000,5733000000,7543000000,9932000000,11739000000,15064000000,18518000000,22362000000,16318000000,20630000000,28208000000,26686000000,29579000000,29245000000,25371000000,26572000000,31438000000,33617000000,33340000000,
Bahrein,BHR,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,3723000000,3622000000,4113000000,4700000000,4384000000,3270000000,4363000000,6194000000,5577000000,5794000000,6632000000,7558000000,10242000000,12200000000,13634000000,17316000000,11874000000,14971000000,19650000000,19768000000,21930000000,20130000000,16540000000,12785000000,15376000000,18044000000,18120000000,
Bahamas,BHS,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,162000000,167000000,176000000,180000000,181000000,300000000,462000000,576000000,423000000,446000000,425000000,477000000,549000000,694000000,802000000,956000000,711000000,702000000,834000000,984000000,955000000,834000000,521000000,481000000,571000000,642000000,669000000,
Bosnia y Herzegovina,BIH,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,95000000,91000000,152000000,336000000,575000000,605000000,751000000,1069000000,1032000000,1005000000,1340000000,1793000000,2400000000,3323000000,4152000000,5021000000,3954000000,4803000000,5850000000,5162000000,5687000000,5892000000,5098000000,5328000000,6402000000,7182000000,6578000000,
Belarús,BLR,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1970000000,2510000000,4803000000,5652000000,7301000000,7070000000,5909000000,7326000000,7451000000,8021000000,9946000000,13774000000,15979000000,19734000000,24275000000,32571000000,21304000000,25284000000,41419000000,46060000000,37203000000,36127000000,26660000000,23537000000,29241000000,33907000000,32960000000,
Belice,BLZ,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,123000000,151000000,162000000,168000000,176000000,172000000,198000000,196000000,169000000,275000000,303000000,305000000,319000000,419000000,416000000,469000000,381000000,478000000,604000000,627000000,609000000,589000000,538000000,443000000,457000000,451000000,462000000,
Bermudas,BMU,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,35000000,32000000,56000000,68000000,57000000,45000000,51000000,51000000,36000000,56000000,52000000,73000000,49000000,27000000,27000000,24000000,29000000,15000000,13000000,11000000,12000000,22000000,22000000,19000000,18000000,17000000,16000000,
Bolivia,BOL,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,728000000,1032000000,1101000000,1137000000,1167000000,1104000000,1051000000,1230000000,1285000000,1299000000,1597000000,2166000000,2827000000,3952000000,4504000000,6525000000,4960000000,6402000000,8358000000,11254000000,11657000000,12300000000,8726000000,7082000000,7846000000,8965000000,8757000000,
Brasil,BRA,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,38555000000,43545000000,46506000000,47747000000,52994000000,51140000000,48013000000,55119000000,58287000000,60439000000,73203000000,96678000000,118529000000,137807000000,160649000000,197942000000,152995000000,201915000000,256040000000,242578000000,242034000000,225101000000,191134000000,185232000000,217739000000,239264000000,225383000000,
Barbados,BRB,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,187000000,182000000,239000000,281000000,283000000,252000000,264000000,272000000,259000000,242000000,250000000,278000000,359000000,510000000,524000000,488000000,379000000,429000000,475000000,565000000,457000000,474000000,483000000,517000000,485000000,448000000,444000000,
Brunei Darussalam,BRN,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,2167000000,2210000000,2402000000,2481000000,2467000000,2058000000,2579000000,3903000000,3640000000,3702000000,4421000000,5057000000,6249000000,7636000000,7668000000,10319000000,7200000000,8907000000,12465000000,13001000000,11447000000,10509000000,6353000000,4875000000,5571000000,6574000000,7039000000,
Bhután,BTN,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,65000000,66000000,103000000,100000000,118000000,108000000,116000000,103000000,106000000,113000000,133000000,183000000,258000000,414000000,675000000,521000000,496000000,641000000,675000000,535000000,544000000,583000000,549000000,525000000,573000000,606000000,594000000,
Botswana,BWA,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1780000000,1878000000,2142000000,2447000000,2842000000,2058000000,2644000000,2675000000,2510000000,2425000000,2810000000,3513000000,4425000000,4529000000,5174000000,4951000000,3456000000,4693000000,5882000000,5971000000,7911000000,8510000000,6316000000,7366000000,5870000000,6577000000,5241000000,
República Centroafricana,CAF,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,110000000,151000000,171000000,147000000,163000000,151000000,146000000,161000000,142000000,147000000,128000000,134000000,128000000,158000000,178000000,150000000,120000000,140000000,190000000,203000000,116000000,99000000,86000000,115000000,140000000,164000000,147000000,
Canadá,CAN,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,145178000000,165376000000,192197000000,201633000000,214422000000,214327000000,238446000000,276635000000,259858000000,252394000000,272739000000,316762000000,360475000000,388178000000,420693000000,456471000000,316094000000,387481000000,451335000000,455592000000,458318000000,476300000000,410062000000,389991000000,420665000000,450743000000,446585000000,
Europa Central y del Báltico,CEB,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,65266000000,76138000000,97623000000,103946000000,111037000000,122745000000,122262000000,138839000000,153397000000,175525000000,227230000000,304462000000,354432000000,434033000000,554625000000,663388000000,515380000000,607232000000,740835000000,715577000000,765939000000,803759000000,712006000000,732799000000,829023000000,925336000000,916325000000,
Suiza,CHE,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,63185000000,70360000000,81641000000,79747000000,76150000000,78856000000,80300000000,80500000000,82144000000,91699000000,104822000000,122844000000,130930000000,147856000000,172078000000,200759000000,172474000000,195609000000,234819000000,312464000000,357852000000,311204000000,289720000000,302900000000,299603000000,310749000000,313934000000,
Islas del Canal,CHI,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,9199000000,11604000000,16024000000,16627000000,17870000000,16323000000,17162000000,19210000000,18272000000,18180000000,21664000000,32520000000,41267000000,58680000000,67972000000,64510000000,55463000000,71109000000,81438000000,77791000000,76770000000,75065000000,62035000000,60718000000,68823000000,75200000000,69889000000,
China,CHN,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,91744000000,121006000000,148780000000,151048000000,182792000000,183712000000,194931000000,249203000000,266098000000,325596000000,438228000000,593326000000,761953000000,968978000000,1220456000000,1430693000000,1201612000000,1577754000000,1898381000000,2048714000000,2209005000000,2342293000000,2273468000000,2097632000000,2263346000000,2486695000000,2499457000000,
Côte d'Ivoire,CIV,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,2519000000,2742000000,3806000000,4446000000,4451000000,4606000000,4661000000,3888000000,3946000000,5275000000,5788000000,6919000000,7697000000,8477000000,8669000000,10390000000,11327000000,11410000000,12635000000,12124000000,12049000000,12951000000,11730000000,10876000000,11853000000,11912000000,12474000000,
Camerún,CMR,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1883000000,1486000000,1651000000,1768000000,1860000000,1671000000,1601000000,1833000000,1749000000,1802000000,2283000000,2477000000,2861000000,3576000000,4230000000,5241000000,3552000000,3878000000,4517000000,4274000000,4515000000,5145000000,4058000000,3305000000,3233000000,3801000000,4411000000,
"Congo, República Democrática del",COD,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1144000000,1256000000,1563000000,1547000000,1449000000,1422000000,809000000,807000000,880000000,1132000000,1378000000,1917000000,2403000000,2705000000,3100000000,4400000000,3500000000,5300000000,6600000000,6300000000,6200000000,7915000000,5800000000,5400000000,7700000000,10800000000,6900000000,
"Congo, República del",COG,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1068000000,959000000,1172000000,1345000000,1668000000,1365000000,1560000000,2489000000,2055000000,2280000000,2677000000,3433000000,4745000000,6078000000,6293000000,9170000000,8202000000,6918000000,13824000000,7438000000,10453000000,8673000000,8623000000,7901000000,8252000000,11155000000,5576000000,
Colombia,COL,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,7116000000,8479000000,10126000000,10587000000,11522000000,10890000000,11575000000,13043000000,12290000000,11911000000,13080000000,16224000000,21190000000,24391000000,29991000000,37626000000,32853000000,39713000000,56915000000,60125000000,58824000000,54857000000,35691000000,31757000000,36897000000,41774000000,39489000000,
Comoras,COM,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,22000000,11000000,11000000,6000000,6000000,6000000,9000000,14000000,17000000,19000000,27000000,19000000,12000000,10000000,14000000,7000000,15000000,21000000,26000000,20000000,21000000,26000000,17000000,31000000,39000000,41000000,39000000,
Cabo Verde,CPV,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,4000000,5000000,8000000,13000000,14000000,10000000,11000000,11000000,10000000,11000000,13000000,15000000,18000000,21000000,19000000,32000000,35000000,44000000,69000000,56000000,69000000,80000000,67000000,60000000,50000000,76000000,62000000,
Costa Rica,CRI,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,2626000000,2878000000,3476000000,3758000000,4335000000,5526000000,6662000000,5850000000,5021000000,5264000000,6102000000,6301000000,7026000000,8200000000,9337000000,9504000000,8784000000,9448000000,10408000000,11433000000,11480000000,11250000000,9422000000,10361000000,10769000000,11344000000,11712000000,
Estados pequeos del Caribe,CSS,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,4280000000,4599000000,5681000000,5852000000,5987000000,5396000000,6105000000,7784000000,7476000000,7154000000,8755000000,10734000000,14542000000,19801000000,19739000000,25943000000,14444000000,17222000000,22435000000,21385000000,26546000000,21597000000,16766000000,13483000000,15275000000,17706000000,14313000000,
Cuba,CUB,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1000000000,1385000000,1600000000,2015000000,1812000000,1512000000,1496000000,1676000000,1661000000,1421000000,1688000000,2332000000,2319000000,3159000000,3981000000,3957000000,3092000000,4914000000,6440000000,5900000000,5283000000,4857000000,3350000000,2317000000,2402000000,2373000000,2062000000,
Curacao,CUW,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,928000000,948000000,705000000,702000000,466000000,419000000,425000000,586000000,398000000,
Islas Caimán,CYM,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,,,,,,,,,,,,,51000000,17000000,22000000,33000000,28000000,24000000,37000000,39000000,51000000,48000000,65000000,58000000,39000000,41000000,54000000,
Chipre,CYP,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,867000000,968000000,1229000000,1391000000,1250000000,1061000000,997000000,951000000,976000000,843000000,923000000,948000000,1465000000,1333000000,1394000000,1633000000,1257000000,1402000000,1818000000,1740000000,2019000000,3163000000,3295000000,2965000000,3288000000,5052000000,3453000000,
República Checa,CZE,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,14465000000,15940000000,21335000000,22165000000,22360000000,25855000000,26556000000,29094000000,33324000000,38492000000,48702000000,68986000000,78110000000,94929000000,122498000000,146799000000,112955000000,132982000000,162939000000,157041000000,162274000000,175021000000,157878000000,162692000000,182142000000,202238000000,199128000000,
Alemania,DEU,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,380096000000,426935000000,523461000000,524649000000,512891000000,543752000000,543539000000,551810000000,571645000000,615831000000,751560000000,909887000000,970914000000,1108107000000,1321214000000,1446171000000,1120041000000,1258924000000,1473985000000,1401113000000,1445067000000,1494214000000,1326206000000,1334355000000,1448191000000,1560539000000,1489412000000,
Djibouti,DJI,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,12000000,12000000,14000000,29000000,31000000,28000000,28000000,32000000,32000000,36000000,37000000,38000000,40000000,55000000,58000000,69000000,77000000,85000000,93000000,118000000,120000000,129000000,134000000,1732000000,3162000000,3522000000,3996000000,
Dominica,DMA,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,48000000,47000000,45000000,51000000,52000000,62000000,56000000,54000000,44000000,43000000,40000000,42000000,42000000,41000000,37000000,40000000,33000000,37000000,29000000,34000000,35000000,36000000,30000000,18000000,12000000,10000000,18000000,
Dinamarca,DNK,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,37754000000,42343000000,50906000000,51415000000,49273000000,49013000000,50296000000,51292000000,51705000000,57495000000,66512000000,77079000000,85121000000,92558000000,103171000000,116923000000,93984000000,96440000000,111864000000,105469000000,110949000000,111493000000,95457000000,95326000000,102506000000,109711000000,110779000000,
República Dominicana,DOM,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,3211000000,3453000000,3780000000,4053000000,4614000000,4989000000,5137000000,5737000000,5276000000,5165000000,5471000000,5936000000,6145000000,6610000000,7160000000,6748000000,5483000000,6754000000,8492000000,9069000000,9651000000,9899000000,9442000000,9840000000,10135000000,10908000000,11219000000,
Argelia,DZA,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,10410000000,8892000000,10258000000,13250000000,13894000000,10209000000,12525000000,22031000000,19133000000,18799000000,23163000000,31304000000,46002000000,54613000000,60163000000,79298000000,45174000000,57053000000,73489000000,71866000000,64974000000,60061000000,34668000000,30026000000,35191000000,41797000000,35824000000,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,233028503335.111,289186106614.529,354769811154.909,369467969051.537,416335472531.005,406851370646.966,444093770727.67,542178824417.477,531946714497.876,608374535532.407,753934099222.519,964788126972.249,1189674156568.68,1467927193188.55,1788312235353.26,2083923274257.55,1748109230062.28,2279524299999.88,2733393359731.94,2898158381416.06,3073568404501.14,3234610425695.29,3101796408216.12,2925495385013.78,3220689423863.2,3535313465269.72,3547175466830.83,
inicial del dividendo demográfico,EAR,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,337548575885.221,374617719184.371,442221865295.583,506317862189.369,543401010076.214,495284247741.636,556218208799.586,696773252538.159,650922232426.983,682482571123.806,775137923637.064,951963849176.211,1191724391158.21,1415520703496.38,1614202788787.89,1969577204152.58,1469640432313.36,1886796086291.51,2348858451039.16,2400219276080.36,2376497505181.58,2319768921742.69,1885102531508.19,1824366635333.35,2071186489840.97,2306900706307,2216457078321.76,
Asia oriental y el Pacífico,EAS,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1030840158114.01,1189476892045.57,1400578115204.48,1413924192534.08,1493232652061.73,1398304102028.43,1493300652455.73,1771081261967.13,1609334324775.95,1736804063358.81,2054215902500.77,2547819840225.83,2927857562203.26,3416818491107.76,3950750505446.17,4483275517111.63,3683929998553.38,4798361115696.12,5609752657138.82,5761841946070.75,5911973231282.96,6052681498593.78,5632012228455.23,5427360583525.96,6011226570518.1,6502613717961.09,6372275944097.21,
Europa y Asia central (excluido altos ingresos),ECA,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,84881060956.2176,115619998280.357,144445614291.185,156807130835.562,158846248460.035,141686211336.674,141228677979.144,183091458463.652,185919846492.025,200311350283.452,256207520867.129,347631004490.124,440309407765.594,545861643207.51,665332065247.196,879863659862.031,586129443743.767,744763025850.364,975196235489.937,1003290958143.23,998597988751.246,958899032989.775,698854848955.666,619815469878.803,745964810585.827,887109420329.595,867956977595.428,
Europa y Asia central,ECS,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1733824954614.24,1998337627614.58,2449029489964.72,2553932073794.54,2546211914116.43,2627464758652.52,2632223435700.89,2780787463215.3,2806493910269.34,2998185514927.48,3589642409436.43,4324835161036.55,4757990448754.14,5419812862316.78,6338338298773.38,7204030384497.16,5485517779041.62,6251311756373.38,7451354156863.78,7277312926580.37,7579809401050.84,7564202842160.38,6475205060194.65,6377761553342.01,7037329220366.26,7781903846919.09,7561604049006.84,
Ecuador,ECU,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,2904000000,3820000000,4307000000,4900000000,5264000000,4203000000,4451000000,4927000000,4678000000,5042000000,6223000000,7753000000,10100000000,12728000000,14321000000,18818000000,13863000000,17490000000,22322000000,23765000000,24848000000,25724000000,18331000000,16798000000,19122000000,21628000000,22329000000,
"Egipto, República Árabe de",EGY,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,3105000000,3463000000,3435000000,3535000000,3921000000,3130000000,3559000000,5276000000,4825000000,5546000000,7408000000,9661000000,12912000000,16728000000,19224000000,26224000000,23062000000,26438000000,30528000000,29409000000,29018000000,26853000000,21349000000,25468000000,25604000000,27624000000,28993000000,
Zona del Euro,EMU,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,1234834054171.39,1404414993688.28,1737074802153.94,1790206738133.75,1760671079798,1863097317837.57,1859640000000,1925922000000,1954834000000,2086206000000,2505671000000,2981524000000,3197115000000,3576202000000,4222939000000,4670717000000,3633295000000,4044115000000,4718123000000,4515082000000,4674842000000,4758394000000,4139154000000,4162776000000,4562713000000,4996530000000,4836673000000,
Eritrea,ERI,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,42000000,78000000,86000000,98000000,57000000,28000000,21000000,37000000,19000000,52000000,7000000,11000000,11000000,12000000,13000000,11000000,11000000,13000000,430000000,480000000,316000000,630000000,499000000,436000000,583000000,669000000,768000000,
España,ESP,Exportaciones de mercaderías (US$ a precios actuales),TX.VAL.MRCH.CD.WT,64603000000,76696000000,97849000000,107243000000,100756000000,111973000000,104433000000,115251000000,116660000000,125687000000,156147000000,182623000000,192644000000,213717000000,253297000000,281493000000,227338000000,254418000000,306551000000,295250000000,317833000000,324533000000,282274000000,289981000000,319531000000,346754000000,334018000000,
