Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,14610,15640,16230,16370,17220,17620,17880,20000,19170,17890,20070,22630,19200,23340,21680,25510,23770,22370,22450,23520,24420,25190,26250,26560,26810,,,
Afganistán,AFG,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,450,510,530,630,660,630,600,550,530,520,530,
Angola,AGO,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,290,180,370,360,450,410,330,360,390,590,710,1010,1370,1810,2460,3030,3170,3230,3410,4170,4780,5010,4520,3770,3450,3210,2960,
Albania,ALB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,320,380,640,890,800,860,950,1100,1280,1370,1650,2100,2620,3050,3460,4030,4280,4360,4410,4360,4540,4540,4390,4320,4290,4860,5220,
Andorra,AND,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,2110.10264011779,2148.52102505598,2241.51853484515,2306.24657124176,2307.79530970053,2279.61293763493,2403.0513469302,2492.2227170361,2466.40408108837,2672.4620211677,3067.22153718217,3511.90107205779,4034.54982771582,4630.603470086,5437.68331103525,5509.46491030504,5791.15758272745,6040.38858839048,6975.72513203585,7487.54181730403,7534.25122307534,7043.06435436855,6581.75193908355,6082.45268579744,6282.60056865081,6491.01121984559,
Emiratos Árabes Unidos,ARE,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,31400,31970,30940,32780,36160,37500,39380,39590,39910,35000,33400,35030,39220,42840,44330,42860,40570,39290,41470,43470,
Argentina,ARG,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,7120,7620,7360,7740,8150,8030,7580,7470,7000,4040,3650,3370,4260,5480,6510,7670,7790,9270,10710,11870,12840,12330,12570,12220,13140,12370,11130,
Armenia,ARM,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,360,400,470,520,560,590,610,660,710,800,960,1180,1540,2020,2760,3600,3340,3470,3530,3880,4110,4140,4010,3760,3950,4250,4680,
Samoa Americana,ASM,"INB per cápita, método Atlas (US$ a precios actuales)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
