Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1395810055.86592,1439273743.01676,1596759776.53631,2034748603.35196,2115865921.78771,1518156424.58101,1993519553.07263,2581564245.81006,2371731843.57542,2017150837.98883,2397430167.59776,3589162011.17318,4287709497.2067,4722793296.08939,5126312849.16201,6011061452.51397,2448659217.8771,1394245810.05587,5916760000,2045531000,1376983000,1351229000,1253575000,1208147000,,,,
Afganistán,AFG,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,465000000,391000000,387000000,661000000,604000000,462000000,1012000000,1176000000,1696000000,2452000000,2101000000,2177000000,2471000000,2744000000,3022000000,3020000000,3336000000,5154000000,6515000000,9069000000,8554000000,7729000000,7723000000,6534000000,7065000000,7407000000,6777000000,
Angola,AGO,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,1463000000,1454000000,1468000000,2040000000,2597000000,2079000000,3109000000,3040000000,3179000000,3760000000,5480000000,5832000000,8353000000,8778000000,13661000000,20982000000,22660000000,16667000000,20228000000,23717000000,26331000000,28580000000,20693000000,13040000000,14463000000,15798000000,14127000000,
Albania,ALB,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,572000000,604000000,714000000,938000000,646000000,829000000,1140000000,1091000000,1327000000,1504000000,1864000000,2309000000,2619000000,3060000000,4191000000,5575000000,4553000000,4406000000,5383000000,4879000000,4920000000,5222000000,4302000000,4613000000,5271000000,5925000000,5897000000,
Andorra,AND,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,1556000000,1294000000,1354000000,1478000000,1609000000,1566000000,
El mundo árabe,ARB,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,119888256832.297,122074329707.359,136821024522.488,149702270484.232,154139747147.863,160010483544.753,155740857074.287,166277225786.597,174806427817.757,182746646536.373,213531578072.128,283628632992.845,341384175806.489,390195414015.455,519276232923.759,681230562418.107,596344598861.224,661370969802.775,764026941833.723,860445319261.161,904288392770.619,910607399743.269,861799176807.234,788790373326.032,816187143178.186,843006990809.519,844838266569.685,
Emiratos Árabes Unidos,ARE,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,20994000000,22775000000,23778000000,30563000000,34107000000,32588000000,31721000000,35009000000,37293000000,42652000000,52074000000,72082000000,84654000000,100057000000,150123000000,200327000000,170121000000,187001000000,229932000000,256528000000,270579000000,276025000000,263417000000,266576000000,273710000000,261538000000,267937000000,
Argentina,ARG,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,16784000000,21527000000,20122000000,23762000000,30450000000,31404000000,25508000000,25154000000,20320000000,8990000000,13834000000,22445000000,28689000000,34152000000,44706000000,57462000000,38786000000,56793000000,74319000000,67974000000,74442000000,65735000000,60205000000,55852000000,66937000000,65482000000,49124000000,
Armenia,ARM,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,254000000,394000000,674000000,856000000,892000000,902000000,800000000,882000000,874000000,987000000,1280000000,1351000000,1802000000,2192000000,3268000000,4426000000,3321000000,3783000000,4145000000,4261000000,4477000000,4401000000,3239000000,3273000000,4189000000,4963000000,5514000000,
Samoa Americana,ASM,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,467000000,498000000,416000000,471000000,529000000,498000000,453000000,506000000,507000000,486000000,611000000,589000000,506000000,566000000,460000000,568000000,482000000,361000000,345000000,396000000,479000000,611000000,675000000,655000000,595000000,610000000,635000000,
Antigua y Barbuda,ATG,Importaciones de mercaderías (US$ a precios actuales),TM.VAL.MRCH.CD.WT,323000000,342000000,346000000,365000000,379000000,385000000,414000000,407000000,386000000,400000000,422000000,454000000,506000000,624000000,728000000,743000000,534000000,501000000,430000000,492000000,503000000,532000000,449000000,478000000,554000000,686000000,701000000,
