Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,1082979720.67039,1245688268.15642,1320474860.3352,1379960893.85475,1531944134.07821,1665100558.65922,1722798882.68156,1873452513.96648,1920111731.84358,1941340782.12291,2021229050.27933,2228491620.11173,2330726256.98324,2424581005.58659,2615083798.88268,2745251396.64804,2498882681.56425,2390502793.29609,2549720670.39106,2534636871.50838,2701675977.65363,2765363128.49162,2919553072.6257,2965921787.7095,3056424581.00559,,,
Afganistán,AFG,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,,,,,,,,,,4055179566.34981,4515558808.10995,5226778808.89209,6209137624.77181,6971285594.68013,9747879531.86311,10109225813.6696,12439087076.7667,15856574731.441,17804292964.1045,20001598505.7042,20561069558.2152,20484885119.7348,19907111418.9938,18017749073.9033,18869945677.9599,18353881129.881,19291104007.8299,
Angola,AGO,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,5768720421.61367,4438321017.39068,5538749259.94714,7526446605.51712,7648377412.83277,6506229607.29432,6152922942.98032,9129594818.60749,8936063723.20121,15285594828.418,17812705294.325,23552052407.5488,36970918699.2523,52381006892.038,65266452081.386,88538611205.1433,70307163678.238,83799496611.2004,111789686464.441,128052853643.106,136709862831.194,145712200312.505,116193649124.151,101123851090.455,122123822333.591,101353230784.594,88815697793.303,
Albania,ALB,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,1185315468.46295,1880951520.3972,2392764853.42107,3199642579.96974,2258515610.08862,2545967253.2416,3212119044.17089,3480355188.60063,3922099470.97313,4348070165.19261,5611492282.86582,7184681398.5698,8052075642.10781,8896073938.31407,10677321490.3807,12881354103.8398,12044223352.5413,11926928505.5231,12890765324.2256,12319830252.4768,12776217194.7928,13228144008.3428,11386846319.1589,11861200797.4707,13019693450.8816,15147020535.3869,15279183289.9372,
Andorra,AND,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.62682,1180597272.72727,1211932397.81713,1239876305.13531,1429049198.45218,1546926174.49664,1755910031.99699,2361726862.30248,2894921777.99851,3159905484.39249,3456442102.622,3952600602.24473,4085630584.44412,3674409558.21061,3449966856.68832,3629203786.19154,3188808942.56713,3193704343.20627,3271808157.30039,2789870187.50693,2896679211.86628,3000180750.11297,3218316013.22626,3154057987.23833,
El mundo árabe,ARB,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,477750218753.598,488310840410.44,524626754650.831,579109082402.504,614123231689.679,592264356627.349,644527010683.065,735685319268.802,722917010350.548,726832740066.549,821089931822.719,965100949397.812,1186135399898.53,1406002045914.84,1639307043044.79,2080969850135.39,1795740921393.58,2103331412247.86,2494028778449.34,2773499064014.84,2856372458851.04,2894391168409.54,2534723688142.23,2469440154484.43,2516121177762.82,2771384097904.53,2817414584665.11,
Emiratos Árabes Unidos,ARE,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,55625170253.337,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.818,109816201497.617,124346358066.712,147824370319.946,180617467964.602,222116541865.214,257916133424.098,315474615738.598,253547358747.447,289787338325.391,350666031313.819,374590605854.323,390107556160.653,403137100068.074,358135057862.492,357045064669.843,385605506854.881,422215043584.969,421142267937.65,
Argentina,ARG,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,236741715015.015,257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,361558037110.419,332976484577.619,423627422092.49,530163281574.658,545982375701.128,552025140252.246,526319673731.638,594749285413.212,557531376217.967,643628665302.668,517626700412.718,445445177459.426,
Armenia,ARM,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,1201313201.01272,1315158670.28285,1468317350.06841,1596968913.27897,1639492424.36472,1893726437.26462,1845482181.44801,1911563665.39006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.98704,9260284937.79781,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11527458565.7334,12457941907.0333,13672802157.8324,
Samoa Americana,ASM,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,,,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,642000000,661000000,652000000,602000000,636000000,,
Antigua y Barbuda,ATG,PIB (US$ a precios actuales),NY.GDP.MKTP.CD,535174074.074074,589429629.62963,577281481.481481,633729629.62963,680618518.518519,727859259.259259,766200000,826370370.37037,800481481.481481,814381481.481481,856396296.296296,919729629.62963,1022962962.96296,1157662962.96296,1312759259.25926,1370070370.37037,1228329629.62963,1148700000,1137637037.03704,1199948148.14815,1181448148.14815,1249733333.33333,1336692592.59259,1436585185.18519,1467977777.77778,1605351851.85185,1661962962.96296,
