Country Name,Country Code,Indicator Name,Indicator Code,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,41731843.575419,81061452.5139665,-279329.608938545,-69106145.2513966,-195810055.865922,-18770949.7206704,-435513966.480447,207145251.396648,308759776.536313,-340251396.648045,-165553072.625698,270888268.156425,104963491.341427,310555693.72256,258268156.424581,111731.843575411,171675977.653631,-460111731.843575,-260558659.217877,90837988.8268156,-331240424.581006,-135498655.865922,110690101.675978,135986923.915091,29520988.7180572,-14727492.3618168,84587758.9065809,
Afganistán,AFG,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,-238376258.640059,277627586.221436,-577708206.772323,-2246921171.24519,-5150161881.41159,-5095040596.60647,-3232893168.37268,-4192816422.82819,-2708462935.14897,-3554897942.49064,-3896837603.93393,-3791935256.04003,
Angola,AGO,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-668500000,-339800000,-295047000,3266378000,-883540000,-1867130000,-1710410000,795650000,-1430930000,-150093385.26,-719558880.5,681237662.030001,5137882651.4822,10689818935.61,10581250704.88,7194246953.019,-7571651745.69,7505954235.08,13084636207.4109,13841185161.0098,8145070111.69022,-3747517596.21103,-10272841902.6133,-3085195463.21077,-632867147.90334,7402606519.27953,5137394880.2235,
Albania,ALB,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,14900000,-157300000,-11500000,-107300000,-272232500,-65070000,-155400000,-156300000,-217400000,-407520000,-406814698.259077,-357925427.326321,-571475353.650417,-670904254.719467,-1150813004.28052,-2013166061.36354,-1852457561.90294,-1355598479.39827,-1667175109.43642,-1256644799.54907,-1184891052.23519,-1425385680.43297,-979825099.400462,-900363040.501948,-982237928.301345,-1010238285.34799,-1218844955.87906,
Andorra,AND,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emiratos Árabes Unidos,ARE,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-8205889940.16498,-10979452970.0946,-5117957254.29083,-6769978160.48526,-12138068595.3394,-14481998042.2511,-11942825328.0158,-8980617892.62762,-3780423241.19359,8766610000,8139930000,3211790000,5273750000,6498802520.20453,6048537892.88669,5421206328.61008,7254115683.93703,-1622995871.25068,-5340181192.3952,-2138040360.43296,-13124373785.8633,-9179026266.87552,-17621985168.21,-15104786524.5601,-31151351750.7624,-27049205421.1077,-3997018054.51692,
Armenia,ARM,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-67730000,-103780000,-220677007,-322209052.982993,-335738764.986447,-416148343.902794,-312542932.852967,-301667882.53552,-221164164.287385,-147810525.588102,-173510013.114181,-78841446.2541776,-123899753.898011,-152931434.45237,-677270882.378012,-1658884233.70808,-1425501011.33033,-1261431337.93129,-1058869760.23295,-1057931944.57862,-813673760.481535,-901811470.85351,-284724290.922379,-107875646.434645,-173860989.403052,-860010880.544991,-987522525.741376,
Samoa Americana,ASM,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,15055555.5555556,-6344444.44444444,-518518.518518518,-59440740.7407407,-47374074.0740741,-46770370.3703704,-60425901.1111111,-66773349.6296296,-56894814.8148148,-82406382.962963,-97559289.2592593,-95101379.2592593,-171492877.037037,-291763385.555556,-385514557.407407,-359171367.407407,-169024819.259259,-167107016.296296,-117692907.777778,-166821254.074074,-204399948.888889,3332296.24960828,29333191.177883,-34854522.2429164,-129865966.203629,-113168506.910818,,
Australia,AUS,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-9289520941.73122,-15863048787.8869,-18669238436.3801,-14404742352.5668,-11910492515.9163,-17780527378.192,-21795709492.9592,-15487273891.4343,-7986938465.21441,-16002234756.2014,-29307731701.3676,-41286950910.194,-43342943309.5636,-45318593059.6826,-64163007801.9241,-52121667002.2045,-48898407698.7643,-44714246092.1586,-44431156054.1156,-64482910032.1769,-47872531026.3494,-43397397625.4285,-56958711794.5014,-41035416124.8005,-35951694822.4385,-29784738313.3228,8033400362.83176,
Austria,AUT,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,6232945526.75533,10993883346.6651,14749054068.6709,19299052401.6221,10303724796.1585,11472431144.4445,6798975982.3796,6141933076.67494,8379185904.99943,10589968447.7841,6634070794.96634,10771582681.0119,5650780663.76815,5990933496.77658,12666127203.9232,
Azerbaiyán,AZE,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,-400650000,-931182000,-915755000,-1364521000,-599703000,-167773000,-51755000,-768373000,-2020854000,-2589213000,167315000,3707605000,9018885000,16452805000,10174876000,15040436000,17144935000,14975987000,12231737000,10208803000,-222495000,-1363404000,1684559000,6051077000,4364886019.2297,
Burundi,BDI,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-28115989.7849905,-16884183.4462969,10446132.7487663,-40010349.6873073,6129686.08465521,-48635466.082532,-21105733.6142841,-50162533.186557,-36713166.2826267,-3284988.16813338,-23902939.1660971,-32368607.5029521,-5698160.23298074,-133539415.109128,-111307028.885154,-259356226.222548,-161180586.838638,-300982004.173613,-283583270.335852,-261157248.520261,-258429277.175128,-395077161.965288,-373243823.096405,-339695286.751492,-373388923.277553,-362644693.882423,,
Bélgica,BEL,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,11622181453.1176,10806024030.8731,11434413829.7619,7700999844.66491,7553988245.75251,7043546782.48605,-4300219760.99251,8777353551.11963,7337927601.44296,-10168977415.4153,-413616611.594275,5078944279.8718,4041465918.74957,6363243452.05958,2646800222.52589,3518201465.32789,-4138109054.77106,1842643564.42101,
Benin,BEN,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-58751760.311602,10551783.9561519,-166966769.151903,-40955332.7482757,-153955311.442302,-132511170.183925,-155633708.764094,-80783378.7502869,-74992412.599646,-156932556.338637,-331950912.889118,-289010635.811171,-226174696.216712,-217198381.152853,-534763829.039847,-538190532.962479,-651546427.808673,-530854983.685416,-516838833.489276,-576935937.945258,-673366862.290826,-886093255.791231,-679200532.34774,-354241236.026214,-531029511.357372,-648780156.127377,-580555691.729075,
Burkina Faso,BFA,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,,,,,,,,-634569356.697594,-543935799.582988,-560735672.476978,-967031300.298648,-381568168.07054,-181624984.081782,-160392828.487696,-162293548.741095,-1345544009.15847,-998954284.130947,-895400077.174337,-780222104.292463,-896284716.175945,-664796659.36633,-523837226.294833,
Bangladesh,BGD,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,359263637.714099,199568821.474148,-823880196.636126,-991418974.99847,-286312953.221846,-35165989.3452837,-364355314.194405,-305831650.648,-535424727.721444,739250272.000126,131637632.009357,-278679383.745514,-173741535.952962,1196063083.00571,856792635.005175,926185438.562718,3556126394.04663,2108502536.74167,-161842538.678824,2575500680.61049,2058473420.43086,755790761.660141,2579621008.7762,931393867.987116,-5984992475.63152,-7095172568.14978,-2948537074.51494,
Bulgaria,BGR,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-1098800000,-31800000,-25800000,15700000,426900000,-61912460.8485193,-652131909.298516,-703685705.88299,-804648255.3858,-319039031.090316,-1022155146.77236,-1671124319.58448,-3346998839.52149,-5863231595.24003,-11437006353.762,-11875334885.4618,-4256328502.85846,-964620000,272490000,-528620000,678640000,747230000,-123190000,1560850000,1987340000,559360000,1233620000,
Bahrein,BHR,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-339361711.905368,-255585130.174148,237382283.230603,260424551.858666,-31063706.9366029,-777413136.252285,-36879302.8159754,830185016.496778,225932635.756962,-49630835.4412102,200443477.622728,471578624.337848,1474202077.29904,2187449378.74819,2906574539.71003,2256886835.2859,559975548.793245,770071855.488056,3247340425.53191,2577976351.45181,2409721033.47922,1523251102.70936,-752110737.115907,-1492819148.93617,-1599760638.29788,-2434574468.08511,,
Bahamas,BHS,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,48660000,-42200000,-145900000,-263300000,-472100000,-995400000,-324397720,-632943000,-644960000,-423317708.657,-473510000,-307120000,-700637472.074333,-1403710000,-1315098058.99422,-1222077999.131,-808980000,-814043000,-1203144000,-1504802400,-1493926000,-1885283210.82194,-1203165342.8486,-710785521.587225,-1574646043.89026,-1115273820.73726,629690637.590911,
Bosnia y Herzegovina,BIH,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,,,,,,-345110797.325196,-501327188.269355,-395690107.590747,-742835136.58694,-1190656336.08945,-1631046469.80418,-1639327352.22514,-1844398185.9041,-998104071.96523,-1450133147.39097,-2643834901.20071,-1135255484.93022,-1030658645.30526,-1767324081.46204,-1485969668.54116,-968193561.138615,-1364226227.26117,-826025436.536401,-804268044.277049,-875777450.998187,-676473713.369424,-623861251.374911,
Belarús,BLR,"Saldo en cuenta corriente (balanza de pagos, US$ a precios actuales)",BN.CAB.XOKA.CD,-435000000,-443800000,-458300000,-515900000,-859200000,-1016500000,-193700000,-459100000,-528800000.000001,-325700000.000003,-456100000,-1191900000,458600000.000001,-1387900000,-3012500000,-4958600000,-6132600000,-8280200000,-5052500000.00001,-1862200000.00001,-7567300000,-5227699999.99999,-1831100000,-1611800000,-952400000.000004,22900000.0000001,-1245800000,
