,industry,variable,value
0,08 OTRAS INDUSTRIAS EXTRACTIVAS,1993,235.6
1,13 INDUSTRIA TEXTIL,1993,0.0
2,17 INDUSTRIA DEL PAPEL,1993,45.08
3,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,1993,270.45
4,"29 FABRICACIÓN DE VEHÍCULOS DE MOTOR, REMOLQUES",1993,3210.18
5,41 CONSTRUCCIÓN DE EDIFICIOS,1993,3268.81
6,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,1993,5.77
7,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,1993,96.15
8,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",1993,1446.18
9,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",1993,67.64
10,55 SERVICIOS DE ALOJAMIENTO,1993,1440.94
11,56 SERVICIOS DE COMIDAS Y BEBIDAS,1993,360.61
12,58 EDICIÓN,1993,314.32
13,60 ACTIVIDADES DE PROGRAMACIÓN Y EMISIÓN DE RADIO Y TEL,1993,2404.05
14,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",1993,4421.32
15,68 ACTIVIDADES INMOBILIARIAS,1993,29436.13
16,71 SERVICIOS TECNICOS ARQUITECTURA E INGENIERIA,1993,0.30000000000000004
17,72 INVESTIGACIÓN Y DESARROLLO,1993,2.7
18,73 PUBLICIDAD Y ESTUDIOS DE MERCADO,1993,1.56
19,"79 ACTIVI. AGENCIAS VIAJE, OPERADOR TURÍST. RESERVAS",1993,18.03
20,"93 ACTIVIDADES DEPORTIVAS, RECREATIVAS Y DE ENTRETENIM.",1993,1.8
21,96 OTROS SERVICIOS PERSONALES,1993,88.35
22,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",1994,267.75
23,10 INDUSTRIA DE LA ALIMENTACIÓN,1994,1.5
24,11 FABRICACIÓN DE BEBIDAS,1994,0.0
25,13 INDUSTRIA TEXTIL,1994,13.37
26,15 INDUSTRIA DEL CUERO Y DEL CALZADO,1994,1.5
27,18 ARTES GRÁFICAS Y REPRODUCCIÓN DE SOPORTES GRABADOS,1994,0.0
28,"25 FABRICACIÓN DE PRODUCTOS METÁLICOS, EXCEPTO MAQUINAR",1994,54.1
29,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,1994,33.03
30,"29 FABRICACIÓN DE VEHÍCULOS DE MOTOR, REMOLQUES",1994,8121.94
31,32 OTRAS INDUSTRIAS MANUFACTURERAS,1994,1.5
32,41 CONSTRUCCIÓN DE EDIFICIOS,1994,1570.86
33,45 VENTA Y REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICL.,1994,12.02
34,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",1994,3887.25
35,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",1994,90.15
36,52 ALMACENAMIENTO Y ACTIVIDADES ANEXAS AL TRANSPORTE,1994,1.2
37,55 SERVICIOS DE ALOJAMIENTO,1994,284.25
38,56 SERVICIOS DE COMIDAS Y BEBIDAS,1994,42.03
39,61 TELECOMUNICACIONES,1994,173.69
40,"62 PROGRAMACIÓN,CONSULTORÍA,OTRAS ACTIVIDADES RELAC.",1994,22.11
41,66 ACTIVIDADES AUXILIARES A LOS SERVICIOS FINANCIEROS,1994,0.30000000000000004
42,68 ACTIVIDADES INMOBILIARIAS,1994,2322.62
43,70 ACTV. SEDES CENTRALES; ACTIV. CONSULTORÍA DE GESTIÓN,1994,0.0
44,"74 OTRAS ACTIV. PROFESIONALES, CIENTÍFICAS Y TÉCNICAS",1994,113.58
45,81 SERVICIOS A EDIFICIOS Y ACTIVIDADES DE JARDINERÍA,1994,2.98
46,82 ACTIVIDADES ADMINISTRATIVAS DE OFICINA,1994,0.02
47,"01 AGRICULTURA, GANADERÍA, CAZA Y SERV. RELACIONADOS",1995,210.97
48,03 PESCA Y ACUICULTURA,1995,36.06
49,08 OTRAS INDUSTRIAS EXTRACTIVAS,1995,0.0
50,20 INDUSTRIA QUÍMICA,1995,45.08
51,23 FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICO,1995,4.8100000000000005
52,28 FABRICACIÓN DE MAQUINARIA Y EQUIPO N.C.O.P.,1995,34.08
53,41 CONSTRUCCIÓN DE EDIFICIOS,1995,979.14
54,43 ACTIVIDADES DE CONSTRUCCIÓN ESPECIALIZADA,1995,2103.54
55,"46 COMER.MAYOR E INTERME.COMERCIO,EXCEP.VEHÍCULOS MOTOR",1995,916.07
56,"47 COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR",1995,53.49
57,55 SERVICIOS DE ALOJAMIENTO,1995,728.56
58,56 SERVICIOS DE COMIDAS Y BEBIDAS,1995,165.27
59,58 EDICIÓN,1995,270.32
60,61 TELECOMUNICACIONES,1995,270.46
61,"64 SERVICIOS FINANCIEROS,EXCEP.SEGUROS Y FONDOS PENSION",1995,142.5
62,68 ACTIVIDADES INMOBILIARIAS,1995,1821.18
